distance_m,x_m,y_m,v_kmh,a_long_ms2,a_lat_ms2,gear,rpm,radius_m,time_s
0.0,-0.518788,-0.519763,72.0,2.9629686180064896,0.08853999106444724,1,1221.546019218915,4517.732554421025,0.0
4.997503592027723,0.755319,-5.352122,74.61775263565266,3.286485003886216,0.14642795248269877,12,1265.9585929881002,2933.9677659828435,0.241109016230323
9.994776562615282,2.018673,-10.187065,77.41773156721531,3.6314615947096702,0.2210354593864512,12,1313.4628029568114,2092.2517104863086,0.4734870816932183
14.991822747617476,3.270419,-15.024792,80.39816259413055,3.9974668970247804,0.2545910695666555,12,1364.0285481857675,1959.04350236645,0.697240531841359
19.988647905336126,4.5097,-19.865499,83.55601294444836,4.22717977898069,0.268272429362768,12,1417.6043749179864,2008.0493108854919,0.9125280968397836
24.985271187435046,5.735927,-24.709321,86.77027035000991,4.133603710311808,0.21746286332011525,12,1472.1371990639398,2671.4792026758482,1.1198323237713996
29.98175905740421,6.952345,-29.555476,89.80210775529507,4.04401471840376,0.09424419211596868,12,1523.575100638177,6602.576820267091,1.3201322586114967
34.978185836545684,8.165064,-34.402495,92.67226293077141,3.958019281325167,0.06782267907738476,12,1572.2699149318394,9770.563094715711,1.5142263255530384
39.97461520176341,9.380261,-39.248896,95.39780551724914,3.8752906716349242,0.2506055190533427,12,1618.5112440529992,2802.0839100490607,1.702775167083062
44.97111864132392,10.604117,-44.093194,97.99299846252495,3.795553389854914,0.45298835522138886,12,1662.5410719892031,1635.678909862893,1.8863333055688096
49.96780259548872,11.842809,-48.933906,100.46992202617487,3.7185717790236756,0.6661334017047809,12,1704.5643514209542,1169.2460676740213,2.06537258291897
54.96482980917097,13.102518,-53.769546,102.83893037836746,3.644141680734349,0.8181899313944937,12,1744.7567503392493,997.3692390108413,2.2402995089679814
59.962420596733516,14.388401,-58.598875,105.10898533547363,3.572084426512188,0.8149697411470737,12,1783.2703141762104,1046.0036538606166,2.411467813730916
64.9606361449795,15.698299,-63.422393,107.2878172037508,3.50224526791467,0.6825170030069293,12,1820.2361946656727,1301.3147202973694,2.5791809468960163
69.95939017652876,17.026862,-68.241362,109.3821447965676,3.434489214627545,0.5058654099968031,12,1855.7683826371406,1824.9580420549426,2.74370061824682
74.95852947242861,18.368723,-73.057045,111.39787601631664,3.368696829829611,0.31358861049211234,12,1889.967111071859,3053.4340091524095,2.9052557762877456
79.95785826660378,19.718518,-77.870707,113.34024564411088,3.3047615399630557,0.10619436096004545,12,1922.9211928313557,9333.87201842876,3.064048300132657
84.95715250954657,21.070882,-82.683612,115.21392243781587,3.2425875737802867,0.10485759346328542,12,1954.7098376737613,9767.986190915122,3.2202573666567815
89.95617999457383,22.420449,-87.497025,117.02309829797304,3.1820882032469906,0.26189850611865517,12,1985.404165035455,4034.643455702277,3.3740432363512762
94.9547664372371,23.762913,-92.311966,118.77157730945451,3.123183749133855,0.31289560019109136,12,2015.0687147043855,3478.728940289662,3.525551800952576
99.95293701498993,25.098098,-97.128499,120.46287433639286,3.0657990484552893,0.29563659198386977,12,2043.7631195734593,3787.418135244972,3.6749207594722235
104.95076529887653,26.426834,-101.94646,122.10020095615712,3.009864580399738,0.2648236501431802,12,2071.5418669975456,4343.811678805664,3.8222766334273555
109.94831722922814,27.749953,-106.76568,123.68648485307989,2.955316406025138,0.2317767688045751,12,2098.4546278258385,5092.952065437277,3.9677346191615
114.94565968238781,29.068287,-111.585994,125.22440644162448,2.9020954373374788,0.19659480474507438,12,2124.5468777474703,6154.615485639642,4.111400166019264
119.94285318557358,30.382668,-116.407233,126.71642524216125,2.8501469770768697,0.15934269618970848,12,2149.8603447807404,7775.506027182025,4.253369895492686
124.93995980051406,31.693927,-121.229232,128.16480688245707,2.7994201702044594,0.12006503122135773,12,2174.433467378145,10556.404794491556,4.3937327942585265
129.93703732605258,33.002896,-126.051823,129.5716424210634,2.7498676656985097,0.0788285497361683,12,2198.3017222653707,16433.549961349618,4.532570882252187
134.93414402717363,34.310406,-130.87484,130.93886796802036,2.701445221276133,0.03565509711858745,12,2221.497957324533,37103.12919213222,4.669960065488668
139.93133546712758,35.617288,-135.698115,132.26827959094635,2.6541114336856224,0.009372490141362095,12,2244.052644489652,144029.48760246127,4.805970673923811
144.92866958207657,36.924376,-140.521482,133.56154846864806,2.6078274262241408,0.05617380101422646,12,2265.994136841545,24503.271827658133,4.940668145015496
149.9262018615269,38.232498,-145.344774,134.82023163639147,2.562556663908717,0.10335975607487305,12,2287.348850911195,13569.181783981623,5.074113370466103
154.9239911096527,39.542489,-150.167825,136.04578406090482,2.5182646963309794,0.13895418266307613,12,2308.1414715432556,10277.643524239405,5.206363270141041
159.9220820499767,40.855079,-154.990482,137.2395637363185,2.474919130972719,0.1484512085482437,12,2328.3950383533397,9789.712066028693,5.337470706621508
164.92044035063194,42.170279,-159.812705,138.40282532901537,2.432490010293032,0.13791000357915814,12,2348.1308379070774,10717.39260637761,5.467483152823981
169.9189946254003,43.48778,-164.634503,139.53673928828968,2.390949251037554,0.12204674065314057,12,2367.3687279499695,12309.657032571344,5.596444138159806
174.91767253950968,44.807271,-169.455885,140.64240718922153,2.350270196091208,0.10557729744647606,12,2386.1273977133233,14456.296256180794,5.724394454500615
179.91640095404273,46.128443,-174.276859,141.7208673896428,2.310427504049062,0.08849199959586694,12,2404.42446388986,17512.921187370506,5.851372383889397
184.9151078181767,47.450985,-179.097435,142.77310046748914,2.2713970362802494,0.07084971433126445,12,2422.2765628833827,22199.831419621158,5.977413946704515
189.91372012254408,48.774587,-183.917622,143.8000332856737,2.2331557854877864,0.0526288741532637,12,2439.6994197730855,30317.186265151173,6.102553029669632
194.91216299074154,50.09894,-188.737427,144.8025429012912,2.1956818022327935,0.03382364455229928,12,2456.7079146367837,47832.92886569804,6.226821526375366
199.91036419457848,51.423731,-193.556861,145.78146116373074,2.158954088369626,0.01452483816402237,12,2473.3161605621135,112898.53175541287,6.350249595967863
204.90825010855502,52.748653,-198.375932,146.73757720652526,2.122952562674792,0.005334808305788453,12,2489.537545923043,311428.86865396646,6.472865694944284
209.90574670616968,54.073394,-203.194649,147.67164068301918,2.087657993214957,0.02575053424551647,12,2505.3847892759454,65343.584545947044,6.594696722677163
214.90278050562353,55.397644,-208.013021,148.5843646909361,2.053051936184628,0.046656962856723515,12,2520.8699889775626,36511.08649986456,6.7157681538163185
219.8992768650667,56.721092,-212.831056,149.4764279575022,2.019116698158894,0.07102011182772426,12,2536.004660257636,24274.990497263374,6.836104096678891
224.89516565342748,58.043429,-217.648766,150.0,1.9991475338673095,0.10809022221197884,12,2544.8875400394063,16061.685095867168,6.956005427599551
229.8905464842403,59.364225,-222.466372,149.25058350537677,1.9991475338673095,0.1600993211579804,12,2544.8875400394063,10735.878390399625,7.076496554458551
234.88590976939994,60.682786,-227.284572,145.96108403975495,1.9991475338673095,0.2117188720192894,12,2544.8875400394063,7764.4301491954175,7.1997027360574535
239.88179849103057,61.998386,-232.104126,142.59536207947093,1.9991475338673095,0.25869994890819226,12,2544.8875400394063,6064.701863518899,7.325830256164641
244.8787563181995,63.310295,-236.925794,139.14750693050084,1.9991475338673095,0.30009882643240793,12,2544.8875400394063,4978.305688791881,7.455110676451245
249.87733090241147,64.617786,-241.750337,135.6108616070371,1.9991475338673095,0.33102515821169504,12,2544.8875400394063,4286.69858125276,7.5878055674792755
