Distance,Time,Speed,Engine_RPM,Gear,G_Long,G_Lat,Throttle_Pos,Brake_Press,Roll_Angle_deg,Fz_Outer_Wheel_N,Front_Slip_Angle_deg,Fuel_Cons_Accum_L,Tyre_Temp_C,Tyre_Press_bar,Tyre_Grip_Mult,Corner_Radius_m
0.0,0.0,72.0,2050.61016132074,1,0.2581834648701464,0.21793194129491011,100.0,0.0,-0.02479383556632822,3263.6284002734483,-1.644283937223173,0.0,65.0,4.5,1.0,187.0984098591818
0.6174725290099743,0.03075361994207214,72.28095777417386,2058.6120344682818,5,0.2586667974456665,0.32324719208534175,100.0,0.0,-0.036775415665186204,3596.3465316268566,-2.4388814349116927,0.00012045977303421636,64.99984139997606,5.1037205644806045,0.75,127.12735972338105
1.2412159322743719,0.06169830726490676,72.5641926294358,2066.6787604716196,5,0.2591527744309103,0.4182747616910175,100.0,0.0,-0.04758657955915901,3896.563215810349,-3.1558589709605527,0.00024241710206355263,64.9998361342104,5.103720485004014,0.75,99.01684079017201
1.8711854975742215,0.09282940772860024,72.84967127083661,2074.809391067405,5,0.25964129199646446,0.40453718121641047,100.0,0.0,-0.046023672766594394,3853.1626439983547,-3.0522097180034575,0.00036587058884188526,64.99980630947644,5.103720034857099,0.75,103.1864662741222
2.507334886376414,0.12414223888285725,73.13735983839796,2083.0029618998647,5,0.26013224495476367,0.39140627225534036,100.0,0.0,-0.04452978620878763,3811.678704495683,-2.9531377666523237,0.0004908184622401726,64.99975334816365,5.1037192355080885,0.75,107.49215453857428
3.1496162199121454,0.155632096134752,73.42722395445294,2091.258493869095,5,0.2606255268703546,0.3788483785355064,100.0,0.0,-0.04310109085509621,3772.0050684283656,-2.85838918227232,0.0006172585888457932,64.99967856809134,5.103718106846926,0.75,111.93728699312413
3.7979801600350314,0.187294258415188,73.71922876804395,2099.574994395544,5,0.2611210301651214,0.36683184735360586,100.0,0.0,-0.04173398561833551,3734.041736715394,-2.767725147041235,0.0007451884827342385,64.99958319125354,5.10371666731726,0.75,116.5253790541288
4.452375985207751,0.21912399346782635,74.01333899656558,2107.9514586060272,5,0.26161864621887604,0.3553269093175747,100.0,0.0,-0.04042508367320878,3697.694660143339,-2.680921052611615,0.0008746053144751863,64.99946835179003,5.103714934036743,0.75,121.26009023286724
5.112751661941917,0.25111656278277816,74.3095189648284,2116.3868704462966,5,0.2621182654656264,0.3443055639157326,100.0,0.0,-0.03917119943765656,3662.8753778496625,-2.597765636736554,0.0010055059194307742,64.99933510325283,5.103712922906718,0.75,126.14523498589473
5.779053911993391,0.28326722619597483,74.60773264170763,2124.8802037248156,5,0.26261977748580945,0.333741470948819,100.0,0.0,-0.03796933622121956,3629.5006743284275,-2.518060164130672,0.0011378868053999616,64.99918442523149,5.103710648712197,0.75,131.18479439414324
