Distance,Speed,G_Long,G_Lat,Gear,Engine_RPM,Roll_Angle_deg,Time,Fuel_Cons_Accum,Tyre_Temp_C,Throttle,Brake_Press,Radius
0.0,72.0,0.48327216273255447,0.0058027795031738655,1,1957.6058000303124,0.02536782533073619,0.0,0.0,65.0,100.0,0.0,7026.756686429368
4.996426317852565,76.1444776747439,0.6105766728150813,0.00962661065120551,10,2070.289876893851,0.042084345509460754,0.23622375901115844,10.964020948271784,65.0,100.0,0.0,4737.283851114963
9.99291808090694,81.07841475228788,0.45939648159619256,0.014224819277544433,10,1763.550833070467,0.06218618691209369,0.4580752888166074,19.478438170655775,65.0,100.0,0.0,3634.877097765157
14.989481644291253,84.60126227784691,0.46528138019165977,0.014952509803076209,11,1840.1769080555425,0.06536740827961678,0.6706918425638633,28.161905118341885,65.0,100.0,0.0,3765.0052061757287
19.98612238501822,88.02569923998824,0.4739661716875846,0.015607984792490823,11,1914.662437599165,0.06823292730046554,0.8750401956235292,37.0624263188859,65.0,100.0,0.0,3904.793979786037
24.982844735782237,91.38226264964108,0.48437301936901717,0.016196482529401982,11,1987.671637587009,0.07080564401136769,1.071885840950972,46.21030486899289,65.0,100.0,0.0,4055.357060536414
29.979652218763192,94.68972993692137,0.49556898609682054,0.016719625880845503,11,2059.612939198013,0.07309265304817436,1.2618589980263453,55.62041448025515,65.0,100.0,0.0,4217.986559001466
34.97654747943478,97.95819638901288,0.5066935806183184,0.017176263448210174,11,2130.7059267960003,0.07508892087844835,1.4454967496543996,65.29327490495078,65.0,100.0,0.0,4394.190278953264
39.9735323203754,101.19099676166175,0.3187242890142742,0.017563070215470412,11,1716.7980454861392,0.07677991163610809,1.623270919324421,71.8816893549346,65.0,100.0,0.0,4585.738664565918
44.970607735079824,103.17266701082607,0.3179908094544694,0.017461905806921744,12,1750.4188983232398,0.07633765443085909,1.7976336843293064,78.50642403383544,65.0,100.0,0.0,4794.724567795209
49.96777394177018,105.11258711001976,0.3178726513938983,0.017298837623084935,12,1783.3314215839735,0.07562477447353692,1.9687815823946033,85.17772025487592,65.0,100.0,0.0,5023.640115049758
54.96503041720478,107.01668037169648,0.3182704356774929,0.017075256447089605,12,1815.6361096954006,0.0746473518062121,2.136887369726823,91.90424088145184,65.0,100.0,0.0,5275.4766663254795
59.962375930483695,108.88983629414925,0.31909826308973427,0.01679213957373735,12,1847.4159174794077,0.07340965883727266,2.302104294098035,98.69328184450299,65.0,100.0,0.0,5553.856387156786
64.95980857685012,110.73609172068804,0.32028045050405285,0.016450120812785237,12,1878.739333684266,0.07191446637253701,2.4645694601280734,105.55093081875904,65.0,100.0,0.0,5863.207746498362
69.95732581148653,112.55876995042048,0.32174911556709684,0.01604954756787433,12,1909.6627411265802,0.07016329314537784,2.624406512830548,112.48218683344074,65.0,100.0,0.0,6209.003057659204
74.95492448330505,114.36058908939275,0.32344237816169097,0.01559052844430825,12,1940.2322549677474,0.06815661394212308,2.781727801237722,119.4910508244375,65.0,100.0,0.0,6598.085253855975
79.95260086873182,116.1437476231287,0.32530301996022387,0.015072973865666995,12,1970.4851745305443,0.06589403716440596,2.9366361398761214,126.58059456003933,65.0,100.0,0.0,7039.125619441074
84.95035070548421,117.90999295497883,0.3272774913892631,0.014496631501077871,12,2000.451146115065,0.06337445970543072,3.0892262551107,133.75301358063206,65.0,100.0,0.0,7543.278086406083
89.94816922634153,119.66067711243107,0.3293151873837966,0.013861117821467829,12,2030.1531081073626,0.06059620490343054,3.2395859815409733,141.00966852339022,65.0,100.0,0.0,8125.136168325889
94.94605119290853,121.39680274036076,0.3313679349858021,0.01316594675014022,12,2059.6080712971047,0.05755714779247639,3.3877972578966005,148.35111828619085,65.0,100.0,0.0,8804.169484893633
99.94399092937186,123.11906172592677,0.3333896506231858,0.012410556110151212,12,2088.8277741843576,0.05425483072162559,3.5339369603849202,155.77714780805798,65.0,100.0,0.0,9606.945853063551
