distance_m,x_m,y_m,v_kmh,a_long_ms2,a_lat_ms2,gear,rpm,radius_m,time_s,consumo_l,temp_pneu_c
0.0,-0.518788,-0.519763,72.0,6.272915534669195,0.08853998574673931,1,1957.6058000303124,4517.732825755858,0.0,0.0,65.0
4.997503592027723,0.755319,-5.352122,77.43748415598567,6.609990199285186,0.15770378032359383,10,2105.445390604347,2933.967942205176,0.23232951234649782,12.053781873869154,65.0
9.994776562615282,2.018673,-10.187065,82.78134728129872,4.436438182477052,0.25272372924323805,10,1800.5916174688216,2092.251836164342,0.4496512072082992,20.482529701481553,65.0
14.991822747617476,3.270419,-15.024792,86.18221498459398,4.504974760735006,0.2925406324159922,11,1874.564487925561,1959.0436200534632,0.658387618418242,29.097283326782282,65.0
19.988647905336126,4.5097,-19.865499,89.50334175691857,4.594543128000274,0.3078216065177547,11,1946.8028993937676,2008.0494315266953,0.8593697294174285,37.93515782309364,65.0
24.985271187435046,5.735927,-24.709321,92.76798391592848,4.696090538378632,0.2485646767323978,11,2017.8127041215596,2671.479363185835,1.053271149457533,47.018093931667025,65.0
29.98175905740421,6.952345,-29.555476,95.99002379292598,4.801514171859895,0.10767966806981487,11,2087.895859134218,6602.577216983736,1.2406589176978258,56.354415735524896,65.0
34.978185836545684,8.165064,-34.402495,99.17618765789402,4.903210442336763,0.07767659838522832,11,2157.198668710978,9770.563681788035,1.422024392916086,65.9394970011096,65.0
39.97461520176341,9.380261,-39.248896,102.32750595694712,9.960996129602172,0.28833583067973373,11,1736.0799660876194,2802.084078412118,1.597804556290259,84.2720576342153,65.0
44.97111864132392,10.604117,-44.093194,108.44796355973388,9.870823813507753,0.5548041753391644,12,1839.9191413720953,1635.6790081377137,1.7636667061360716,102.60489005588862,65.0
49.96780259548872,11.842809,-48.933906,114.19006590042407,9.781464557642245,0.8604897502147282,12,1937.339172708453,1169.2461379174365,1.9211940890406338,120.93838480953676,65.0
54.96482980917097,13.102518,-53.769546,119.60892629718667,9.692908176060694,1.1067924464109606,12,2029.2751080746805,997.369298917897,2.071595054304371,139.27313902778582,65.0
59.962420596733516,14.388401,-58.598875,124.7473080215242,9.605143641575198,1.1479530754952578,12,2116.4524655828986,1046.0037166738923,2.2158172192597934,157.60996107319232,65.0
64.9606361449795,15.698299,-63.422393,129.63901113460224,9.518162899639382,0.996515479337361,12,2199.444694263194,1301.3147984238856,2.354614760341028,175.9490754482353,65.0
69.95939017652876,17.026862,-68.241362,134.31127922069507,9.431960538140759,0.7627233803886306,12,3000.0,1824.9581515987811,2.488598403546509,194.29016558978782,65.0
74.95852947242861,18.368723,-73.057045,138.78649570396942,9.346532294840548,0.4867442774023079,4,3000.0,3053.4341924147184,2.6182716932563865,212.63266931723354,65.0
79.95785826660378,19.718518,-77.870707,143.0833301522408,9.261874593172417,0.1692431927189761,4,3000.0,9333.872578615388,2.7440556237805165,230.97586833893206,65.0
84.95715250954657,21.070882,-82.683612,147.21755630764176,9.177984271876092,0.17120212244829303,4,3000.0,9767.986777191116,2.8663063914605926,249.31894058758604,65.0
89.95617999457383,22.420449,-87.497025,151.20265967231447,9.09485823101446,0.4372287100559015,4,3000.0,4034.6436978965785,2.9853287617356927,267.6610340661417,65.0
94.9547664372371,23.762913,-92.311966,155.05032953372418,9.01249233952404,0.5332363774636738,4,3000.0,3478.7291491489605,3.1013872780103955,286.0015093018907,65.0
99.95293701498993,25.098098,-97.128499,158.77089259599003,8.93087916990114,0.5135627204343074,4,3000.0,3787.4183626721187,3.2147167037364093,304.34045867424226,65.0
104.95076529887653,26.426834,-101.94646,162.37344471644408,8.850010591842523,0.46833217161315716,4,3000.0,4343.811939675431,3.325524119649842,322.6781521250951,65.0
109.94831722922814,27.749953,-106.76568,165.8660162707299,8.7698787050491,0.4168119980411557,4,3000.0,5092.95237132675,3.433992311952117,341.0148315982518,65.0
114.94565968238781,29.068287,-111.585994,169.255745937194,8.690475695981524,0.3591541503331786,4,3000.0,6154.615855320518,3.540283727536026,359.3507424718664,65.0
119.94285318557358,30.382668,-116.407233,172.5490104275806,8.611793951777134,0.29545494010200857,4,3000.0,7775.50649424473,3.644543361172228,377.68610682831275,65.0
124.93995980051406,31.693927,-121.229232,175.7515395122662,8.533825931267403,0.22577570809335673,4,3000.0,10556.405428613265,3.7469014051683676,396.0211523802872,65.0
129.93703732605258,33.002896,-126.051823,176.8251024534593,8.507368339320347,0.14680857380422158,4,3000.0,16433.550948510536,3.8486374078191985,414.3560911993958,65.0
134.93414402717363,34.310406,-130.87484,176.8251024534593,8.507368339320347,0.06502378869114515,4,3000.0,37103.13142086085,3.950374004458642,432.69113706757827,65.0
139.93133546712758,35.617288,-135.698115,176.8251024534593,8.507368339320347,0.016750639556776647,4,3000.0,144029.4962537002,4.052112326304485,451.026493853754,65.0
144.92866958207657,36.924376,-140.521482,176.8251024534593,8.507368339320347,0.09845975057350212,4,3000.0,24503.273299365123,4.153853552884865,469.36237413337,65.0
149.9262018615269,38.232498,-145.344774,176.8251024534593,8.507368339320347,0.17779893222796853,4,3000.0,13569.1825988949,4.255598813916208,487.6989815047691,65.0
154.9239911096527,39.542489,-150.167825,176.8251024534593,8.507368339320347,0.23474116675922235,4,3000.0,10277.644141406485,4.357349306598595,506.0365317282491,65.0
159.9220820499767,40.855079,-154.990482,176.8251024534593,8.507368339320347,0.24644095926005208,4,3000.0,9789.71265382882,4.45910594146271,524.3751889003341,65.0
164.92044035063194,42.170279,-159.812705,176.8251024534593,8.507368339320347,0.225109419898417,4,3000.0,10717.393249818462,4.56086801954263,542.7148270528603,65.0
169.9189946254003,43.48778,-164.634503,176.8251024534593,8.507368339320347,0.19599132827753116,4,3000.0,12309.657771559825,4.662634087479179,561.0551842603453,65.0
174.91767253950968,44.807271,-169.455885,176.8251024534593,8.507368339320347,0.16688825337458452,4,3000.0,14456.297124008717,4.764402672601476,579.3959951169365,65.0
179.91640095404273,46.128443,-174.276859,176.8251024534593,8.507368339320347,0.13776034315738495,4,3000.0,17512.922238685005,4.866172285866965,597.7369912662662,65.0
184.9151078181767,47.450985,-179.097435,176.8251024534593,8.507368339320347,0.10867587176021022,4,3000.0,22199.832752325532,4.967941460385717,616.0779083443292,65.0
189.91372012254408,48.774587,-183.917622,176.8251024534593,8.507368339320347,0.0795781643899649,4,3000.0,30317.1880852542,5.069708709752694,634.4184784700934,65.0
194.91216299074154,50.09894,-188.737427,176.8251024534593,8.507368339320347,0.0504377651473395,4,3000.0,47832.931737601066,5.17147250955169,652.7584269121248,65.0
199.91036419457848,51.423731,-193.556861,176.8251024534593,8.507368339320347,0.021369507600400316,4,3000.0,112898.53853462909,5.273231389281727,671.0974886556324,65.0
204.90825010855502,52.748653,-198.375932,176.13287669291992,8.507368339320347,0.00768629344588225,4,3000.0,311428.88735696697,5.375383750772333,689.4061052539636,65.0
209.90574670616968,54.073394,-203.194649,172.4440496345651,8.507368339320347,0.035114658074895916,4,3000.0,65343.588470854535,5.479713171181668,707.5591694431553,65.0
214.90278050562353,55.397644,-208.013021,168.70911406602437,8.507368339320347,0.06015161680240735,4,3000.0,36511.08869336719,5.586342393779528,725.5578374632701,65.0
219.8992768650667,56.721092,-212.831056,164.9246707125539,8.507368339320347,0.08645839221043242,4,3000.0,24274.991955983573,5.695406652124149,743.4032572158076,65.0
224.89516565342748,58.043429,-217.648766,161.08695473513984,8.507368339320347,0.12465927834202138,4,3000.0,16061.686061253205,5.807055665960621,761.096588272143,65.0
229.8905464842403,59.364225,-222.466372,157.19165027927409,8.507368339320347,0.17758911205772948,4,3000.0,10735.879035746468,5.921459776859489,778.6395765348695,65.0
234.88590976939994,60.682786,-227.284572,153.23363608938394,8.507368339320347,0.23334236715698572,4,3000.0,7764.430615877428,6.038818525796862,796.0352927257446,65.0
239.88179849103057,61.998386,-232.104126,149.20714761099333,8.507368339320347,0.28324664364869095,4,3000.0,6064.702227922238,6.159356983141818,813.2869180475202,65.0
244.8787563181995,63.310295,-236.925794,145.10570747310328,8.507368339320347,0.32634908676719976,4,3000.0,4978.305987757371,6.283329006648492,830.39756185208,65.0
249.87733090241147,64.617786,-241.750337,140.92198738432035,8.507368339320347,0.3574617224996726,4,3000.0,4286.698838490118,6.4110228380879235,847.3702741136925,65.0
254.87806918603638,65.92013,-246.578513,136.64764183787537,8.507368339320347,0.18303945235972188,4,3000.0,7871.446961098045,6.5427679423496485,864.2080306383634,65.0
259.88148375949373,67.216919,-251.410955,132.27312157798997,8.507368339320347,0.5612392195549893,4,3000.0,2405.415981143115,6.678942943359405,880.913623181209,65.0
264.8864239235638,68.520038,-256.243274,127.78887046508642,8.507368339320347,1.817323338604417,4,3000.0,693.3441527056091,6.819939452093513,897.4843175473045,65.0
