Distance,Speed,G_Long,G_Lat,Gear,Engine_RPM,Time,Fuel_Cons_Accum,Tyre_Temp_C,Throttle,Brake_Press,Radius
0.0,72.0,0.48327216273255447,0.0058027795031738655,1,1957.6058000303124,0.0,0.0,65.0,100.0,0.0,7026.756686429368
4.996426317852565,76.1444776747439,0.6105766728150813,0.00962661065120551,10,2070.289876893851,0.23622375901115844,10.964020948271784,65.0,100.0,0.0,4737.283851114963
9.99291808090694,81.07841475228788,0.4499249726987555,0.014224819277544433,10,1763.550833070467,0.4580752888166074,19.319136171011195,65.0,100.0,0.0,3634.877097765157
14.989481644291253,84.53011301376145,0.45547352099051386,0.014927370397600977,11,1838.6293279217473,0.6708708025911502,27.83619952244839,65.0,100.0,0.0,3765.0052061757287
19.98612238501822,87.88645546752075,0.463678527581073,0.015558644752729625,11,1911.63372185916,0.875542916979296,36.56075139408783,65.0,100.0,0.0,3904.793979786037
24.982844735782237,91.17649019944221,0.473540122474024,0.016123622929544636,11,1983.195844898167,1.0728328151032809,45.521920181924514,65.0,100.0,0.0,4055.357060536414
29.979652218763192,94.41830067540752,0.48419321545432636,0.01662390924268261,11,2053.7090336798196,1.2633520980182802,54.73453606878429,65.0,100.0,0.0,4217.986559001466
34.97654747943478,97.62184635424681,0.4948411803078925,0.01705851284361254,11,2123.389918141573,1.4476225621635748,64.20014988575521,65.0,100.0,0.0,4394.190278953264
39.9735323203754,100.79074710084079,0.5826346633259973,0.0174244074747571,11,2192.3172345999374,1.6261026900009858,75.21804101641055,65.0,100.0,0.0,4585.738664565918
44.970607735079824,104.39870283142389,0.6012828452086922,0.017879383175348318,11,1771.2197202131158,1.798417776348219,86.63854337634872,65.0,100.0,0.0,4794.724567795209
49.96777394177018,107.99589098251103,0.6009189708833166,0.018260889772442883,12,1832.249315578976,1.9649963209615375,98.14470540238143,65.0,100.0,0.0,5023.640115049758
54.96503041720478,111.4750520044467,0.59537780272591,0.018527620728221762,12,1891.2764724757417,2.1263788275231574,109.64938461134119,65.0,100.0,0.0,5275.4766663254795
59.962375930483695,114.81826686757017,0.5884765612571762,0.018670386986665042,12,1947.9971781346583,2.28306507909804,121.12885669971479,65.0,100.0,0.0,5553.856387156786
64.95980857685012,118.02976411511017,0.5812678606452156,0.018688471688507877,12,2002.483173668894,2.4354906783678425,132.57689468165,65.0,100.0,0.0,5863.207746498362
69.95732581148653,121.11840597933156,0.5740413423672726,0.018583367282283794,12,2054.8848149749015,2.584031784892652,143.9920954084422,65.0,100.0,0.0,6209.003057659204
74.95492448330505,124.09327195321777,0.5668760793304589,0.018357119697246516,12,2105.356143976436,2.7290143043746857,155.37438175159014,65.0,100.0,0.0,6598.085253855975
79.95260086873182,126.96266323061433,0.5597930276128433,0.01801189153632478,12,2154.037998038731,2.870722382401188,166.72403711777866,65.0,100.0,0.0,7039.125619441074
84.95035070548421,129.7339777518159,0.552797100547994,0.017549847251587238,12,3000.0,3.009405399172072,178.04143885604515,65.0,100.0,0.0,7543.278086406083
89.94816922634153,132.41378823766595,0.5458887809876611,0.016973123220392367,4,3000.0,3.1452835952009686,189.32698455874262,65.0,100.0,0.0,8125.136168325889
94.94605119290853,135.00795241230148,0.5390673267263353,0.016283820183374514,4,3000.0,3.2785525971979337,200.58107160870472,65.0,100.0,0.0,8804.169484893633
99.94399092937186,137.5217149137952,0.5323316557879064,0.015484001581446838,4,3000.0,3.4093870844099827,211.80409143177917,65.0,100.0,0.0,9606.945853063551
104.94198235624975,139.95979381992774,0.52568059137593,0.014575693467236365,4,3000.0,3.5379437837711567,222.99642781773807,65.0,100.0,0.0,10570.690391631228
109.94001902413494,142.32645270605445,0.5191129300778533,0.013560884856487059,4,3000.0,3.6643639373145556,234.1584563735872,65.0,100.0,0.0,11749.22479721849
114.93809414743109,144.62556060904924,0.5126429779178275,0.012441528221429302,4,3000.0,3.7887753509546718,245.29080535707607,65.0,100.0,0.0,13223.376786519015
119.9362006380836,146.86070930202956,0.5062431938248088,0.006208584395554693,4,3000.0,3.9112940521911255,256.3936538853373,65.0,100.0,0.0,27324.02316769184
124.9343311393022,149.0350721544756,0.4998901198030051,0.002760265493438804,4,3000.0,4.032025833940705,267.46679650301184,65.0,100.0,0.0,63292.477978716546
129.93227675959963,151.1513807463846,0.4936174187863726,0.012084558923945768,4,3000.0,4.1510628162310645,278.5101528676239,65.0,100.0,0.0,14870.289545496356
134.93011189673263,153.21240654373162,0.48747719883621426,0.015098564562712179,4,3000.0,4.268495907320481,289.5251606638021,65.0,100.0,0.0,12228.641101716892
139.9278163746483,155.22088710089523,0.4813560463732273,0.0035994096007187773,4,3000.0,4.384406442664874,300.51116025701316,65.0,100.0,0.0,52649.595953090764
144.92545543953068,157.17894052973972,0.47511529356494775,0.01412522279577033,4,3000.0,4.498871526682745,311.4653507940628,65.0,100.0,0.0,13756.862565640431
149.92316607444275,159.08800378797744,0.4686258052719793,0.037015379173649346,4,3000.0,4.611964644059852,322.3828983653443,65.0,100.0,0.0,5377.97344415952
154.92114290404044,160.9489095030562,0.46178005218994767,0.06334839075857746,4,3000.0,4.723756122747752,333.2572470295445,65.0,100.0,0.0,3216.373543424149
159.91963124692347,162.76200431385638,0.4542551449877713,0.09223632744235245,4,3000.0,4.8343136088774985,344.07646059325367,65.0,100.0,0.0,2259.071867321561
164.9189208454079,164.52634160513546,0.445478387692464,0.1281141358890892,4,3000.0,4.943703037822184,354.8189489754239,65.0,100.0,0.0,1661.8806116538879
169.91957165862982,166.2388682976595,0.4369505791452404,0.1739637748509833,4,3000.0,5.051995058286162,365.48875237967917,65.0,100.0,0.0,1249.4886502804263
174.92330668812332,167.90266464666078,0.4323094579675394,0.2029855879037134,4,3000.0,5.159280110277949,376.15368493402735,65.0,100.0,0.0,1092.3855942889809
179.93215089693183,169.5343766603423,0.4302811949872529,0.1798925360388655,4,3000.0,5.2656410708507835,386.86145644302553,65.0,100.0,0.0,1256.6906804591488
184.94482158429562,171.1442092272098,0.42730601004372337,0.12505538981596676,4,3000.0,5.371082058635257,397.59314361546166,65.0,100.0,0.0,1842.247581092759
189.9590079737966,172.7285394952639,0.42273308551376915,0.08819783412924369,4,3000.0,5.475587492739842,408.3164121298059,65.0,100.0,0.0,2660.7022232158697
194.97508323480554,174.2823255352631,0.4172090790426834,0.0844413891901577,4,3000.0,5.579200242249422,419.0153160803928,65.0,100.0,0.0,2829.2890203049988
199.99586354130352,175.8037630485508,-0.5898306196921381,0.09694549234410836,4,3000.0,5.682012655305683,422.73721599350165,65.0,0.0,100.0,2507.5794621542036
205.0258891820861,173.6449348053062,-0.8154943934760431,0.10017540947454606,4,3000.0,5.786294950249215,426.3749553277432,65.0,0.0,100.0,2367.4951818313807
210.07050933602886,170.60630395274808,-0.8154943934760506,0.08821397268785124,4,3000.0,5.892742555838419,429.89668290044557,65.0,0.0,100.0,2595.2473671440184
215.13543389844764,167.49999460046052,-0.8154943934760427,0.06006648990028243,4,3000.0,6.0016006394950825,433.304997808228,65.0,0.0,100.0,3673.866170001709
220.22620994510666,164.31866865976943,-0.8154943934760465,0.011026034471777768,4,3000.0,6.113132663929379,436.60181559906664,65.0,0.0,100.0,19261.07224587428
225.34552747781748,161.05614917331215,-0.8154943934760459,0.060004196104041306,4,3000.0,6.2275619683201535,439.786774467739,65.0,0.0,100.0,3400.157160675171
230.49163515868145,157.70854858831282,-0.8154943934760457,0.1477034592338617,4,3000.0,6.345031742894461,442.85669036162096,65.0,0.0,100.0,1324.4811878104404
235.6590610215668,154.2740058172611,-0.8154943934760448,0.2452601158198526,4,3000.0,6.465614163813916,445.80651979962323,65.0,0.0,100.0,763.2812162068249
240.8437246214964,150.7493848306616,-0.8154943934760446,0.3458480858269762,4,3000.0,6.589427531150127,448.632498070741,65.0,0.0,100.0,516.8347567024693
246.04840860776585,147.1262510751568,-0.8154943934760468,0.44142581410202875,4,3000.0,6.716779803186194,451.3346629267212,65.0,0.0,100.0,385.69907928812927
251.28179607386411,143.39085929884072,-0.8154943934760421,0.521518444630369,4,3000.0,6.848170290488379,453.91551410822063,65.0,0.0,100.0,310.0982054677
256.5553493175988,139.5256769553157,-0.8154943934760419,0.5787704531654175,4,3000.0,6.984236942102081,456.37785824575064,65.0,0.0,100.0,264.56227465104234
261.86971185081126,135.51910682613058,-0.8154943934760457,0.6167750450493578,4,3000.0,7.1254104309748385,458.7187933648532,65.0,0.0,100.0,234.20720901123644
267.21082387196566,131.36930892048423,-0.8154943934760429,0.644864490769209,4,3000.0,7.271776453862226,460.9296300141646,65.0,0.0,100.0,210.49673228326753
272.55297571649334,127.08322753126929,-0.8154943934760416,0.6693387410969349,4,3000.0,7.423108356693916,462.9989604165352,65.0,0.0,100.0,189.78264743444046
277.86759358744166,122.67072820377531,-0.8154943934760454,0.6920867165198897,4,3000.0,7.579075673555619,464.91714796868536,65.0,0.0,100.0,171.02018191669538
283.1289701967227,118.14020697605027,-0.8154943934760435,0.7135801554653987,4,3000.0,7.739401749480401,466.6784424834326,65.0,0.0,100.0,153.84333360012238
288.3144504799678,113.49822603375921,-0.8154943934760465,0.7341182169988028,4,3000.0,7.903877703616722,468.28059653572126,65.0,0.0,100.0,138.01876504982835
293.40450348003355,108.74913297455134,-0.8154943934760451,0.7535648311703131,4,3000.0,8.072377353214158,469.72440987131824,65.0,0.0,100.0,123.44030200851287
298.3828090473668,103.89452574738687,-0.8154943934760451,0.7714237555978235,4,2095.2543258565656,8.24487826135609,471.01326474472194,65.0,0.0,100.0,110.05716270497926
303.236367439107,98.93249522863141,-0.7985083472054895,0.7874249438550442,12,1974.8083916267776,8.42149172056265,472.152662402928,65.0,0.0,100.0,97.76755368412896
307.9552045231033,93.96553531330342,-0.7680927809932899,0.8043623909416997,12,1855.8090974054403,8.602279425818042,473.15199327995833,65.0,0.0,100.0,86.33987572183271
312.5296497963649,89.08479608222893,-0.7279768157966647,0.8257131504148769,12,1736.5191415769018,8.787137041348092,474.0227217701279,65.0,0.0,100.0,75.59689712459708
316.95018335317974,84.36724256069121,-0.6731819817403647,0.8540598678940682,12,2073.1259129002246,8.975763815455181,474.7773960338329,65.0,0.0,100.0,65.55191539296128
321.2090114196713,79.93017692630262,-0.601764963831691,0.8911470189928351,11,1922.7909863069667,9.167578492076075,475.4299986254827,65.0,0.0,100.0,56.38949185076624
325.30404242669215,75.90939659698917,-0.5187084690172066,0.9347229624322266,11,1782.9947565253808,9.361785168537258,475.9959581995744,65.0,0.0,100.0,48.48798736658635
329.2450530236024,72.40468273890082,-0.4286128191324933,0.9779558177613867,11,2078.3229493081317,9.557734347681363,476.4914974396753,65.0,0.0,100.0,42.16383122690827
333.05422653218994,69.47872323899158,-0.3496447540889386,1.0162149616329765,10,1956.4332376610826,9.755104477580634,476.93253091206685,65.0,0.0,100.0,37.363200000804845
336.7642086246524,67.0630550522626,-0.03183498732211134,1.0427035570448764,10,1163.304723618274,9.954259370277608,477.33272956182276,65.0,0.0,0.0,33.925933275581876
340.41384887691055,66.84242717534735,-0.031834987322111534,1.0900000000000003,12,1134.0430670968858,10.150821725406674,477.72383298668643,65.0,0.0,0.0,32.24065944971976
344.0488656375261,66.62195706656412,0.14387812941499376,1.0586855789925818,12,1130.3025895449287,10.347244360141664,479.8713122196492,65.0,100.0,0.0,32.97568047392799
347.71940159392216,67.62226260957051,0.32989580739470514,0.9900833426095015,12,1147.2736902957909,10.542652335756424,484.34997080689664,65.0,100.0,0.0,36.327342883208246
351.46891710628455,69.90919802527569,0.4437424582885259,0.9108538710545561,12,1186.0736465911439,10.73573502338251,490.39020227150894,65.0,100.0,0.0,42.20325255905443
355.32790070992445,72.95694289635715,0.5088951260383607,0.824338544879903,12,1983.6240911998482,10.926153377299,497.49341552801934,65.0,100.0,0.0,50.7871261948036
359.31325261928544,76.40953934101695,0.5480288398565911,0.7343626823802556,10,2077.496630439154,11.113921383721175,505.40352366949503,65.0,100.0,0.0,62.533185757280584
363.4301136213013,80.07560721638852,0.5283479958415096,0.6459727435411646,10,2177.173237885435,11.299005207902578,513.3585587363979,65.0,100.0,0.0,78.07505138931084
367.67537021268794,83.56096715220424,0.453578779070701,0.5573148282607555,10,1817.5492661477497,11.481900694274277,520.5512924196524,65.0,100.0,0.0,98.54448147961119
372.0396069767427,86.52039871167977,0.46006301345324185,0.4671543780305043,11,1881.9203815435503,11.663490846244718,528.0935604645075,65.0,100.0,0.0,126.03831604044358
376.5085334952874,89.49059225712313,0.4683147247222213,0.3827729125787243,11,1946.5255827854671,11.843265446691397,535.9969210163454,65.0,100.0,0.0,164.5657899759973
381.06453676474484,92.47215099211908,0.4777319653595492,0.3018059194616551,11,2011.3779902605684,12.020633568813317,544.2579890788712,65.0,100.0,0.0,222.8538581809209
385.68819521437297,95.46077428611655,0.4876830701775486,0.2213577996526442,11,2076.3840601987363,12.195000166435625,552.8588977665576,65.0,100.0,0.0,323.8031484001434
390.3591899171674,98.4479021756859,0.49751089428592205,0.13827540013154846,11,2141.3576033326617,12.365807065906692,561.7672808334532,65.0,100.0,0.0,551.3076255994514
395.0570592977373,101.42135828093252,0.5820914286348124,0.04917740331684552,11,1720.7063398867845,12.53256020406922,572.1314276496545,65.0,100.0,0.0,1645.2020534226813
399.76187571589537,104.79817960372716,0.5962720055047827,0.0498201855736377,12,1777.9972099489141,12.694178842574336,582.8140628485596,65.0,100.0,0.0,1733.9162940653505
404.45488240867155,108.13971936779362,0.5854036655463676,0.16285169991680482,12,1834.6894960163736,12.850410282721997,593.3782824842767,65.0,100.0,0.0,564.8123330095887
409.1197655943846,111.3040148420785,0.5588462063342657,0.2912655137156263,12,1888.3746701864447,13.001290549641336,603.5398598623625,65.0,100.0,0.0,334.5481130054027
413.7459703437631,114.218959880028,0.4262470693795218,0.43824697846637917,12,1937.8293855662937,13.147101167381646,611.6252102256044,65.0,100.0,0.0,234.14423141953407
418.32767899750263,116.3724837591758,-0.8154943934760437,0.6059019542476142,12,1981.7139288093015,13.28883700235442,613.1134236397036,65.0,0.0,100.0,175.80217553519708
422.85352837907277,112.26787095388086,-0.7983211800678833,0.7204039787800137,12,2017.7673465197952,13.433963632397539,614.4816192992648,65.0,0.0,100.0,137.61344335281095
427.3104245222116,108.16355620973799,-0.6730796843237008,0.8227586141348712,12,2041.8867752798378,13.58230219186749,615.7322571465763,65.0,0.0,100.0,111.84471528734105
431.69296907293636,104.63887171607648,-0.5332984141374805,0.9132358859910445,12,1939.5105620593006,13.733079432904821,616.8831889050314,65.0,0.0,100.0,94.30378379096426
436.00526556822103,101.80631808113552,-0.38067272463400065,0.9884366610785106,12,1813.8062492666693,13.88556768388599,617.9551899623159,65.0,0.0,100.0,82.47581356325479
440.26041979579895,99.76294930210409,-0.2169870071311711,1.0450599140203904,12,1728.5791500148048,14.0391172263408,618.9709497206375,65.0,0.0,100.0,74.90716505424204
